composition,Mean VEC,Atomic_Radius_Difference,Calculated_Youngs_Modulus,Mixing_Enthalpy,Mixing_Entropy,Work_Function,Shear_Modulus_G,MOd_Missmatch,shear_modulus_difference,melting_Temp,cohesive_enrg,Ionization_enrg,Pauling_electronegativity
Ag0.55 Al1.41 Mo1.03 Ni0.7,6.358,15.976,168.894,-3.052,10.998,1.909,62.434,-0.17,0.414,1676.933,4.47,6.847,0.1
Co1.51 W0.42,9.218,10.953,252.959,-0.681,4.355,1.117,93.715,-0.051,0.143,2187.347,5.371,7.877,0.078
Al1.69 Fe0.44 Ni0.77 Ta0.44,6.063,21.874,133.826,-23.071,10.118,2.136,50.721,-0.089,0.242,1542.684,4.355,6.871,0.043
Ag1 Fe1 Hf1 Mo1 Sc1,7.2,20.2,168.2,0.32,13.381,1.74,58.2,-0.171,0.403,2052.386,4.668,7.193,0.222
Al0.37 Cr0.29 Fe1.74 Mo0.91 Nb0.25 Ni1.77,7.726,17.953,216.433,-10.239,12.641,1.286,82.36,-0.052,0.092,1971.884,4.847,7.43,0.052
Al1.99 Au0.25 C1.8 Co1.33 Fe1.92 Mo0.95 Ni1.82 V0.36,6.473,46.215,331.528,-35.264,15.986,1.961,85.904,-0.132,0.292,2087.288,4.936,7.986,0.206
Ba1.82 Cu1.69 N0.21 Ni1.19,7.165,105.67,110.868,-24.509,10.087,1.585,38.608,-0.222,0.53,1259.514,3.013,7.064,0.659
Mn0.93 V1.42,5.791,4.23,155.702,-0.957,5.581,0.959,48.294,-0.024,0.05,1920.226,4.364,7.018,0.003
Co1.98 Cr1.45 Cu0.84 Mo1.16 Nb1.98 Pd0.37,7.239,12.019,200.756,-10.914,13.956,1.13,75.391,-0.087,0.188,2221.453,5.387,7.276,0.086
Al1 Li1 Mn1 Nb1 Ti1,4,20,100,3.68,13.381,1.886,29.5,-0.125,0.221,1519.424,4.066,6.48,0.115
Fe1 Hf1 Mo1 Pd1 V1,7.4,19.6,186.6,-27.2,13.381,1.212,66.6,-0.101,0.227,2244.81,5.264,7.382,0.227
Al1 Cu1 Ta1,7.667,15.333,128.667,-8,9.134,1.86,47.867,-0.06,0.133,1860.413,4.983,7.201,0.057
Cr1 Hf1 Ni1 W1,8.5,21.5,258.5,-16.5,11.526,1.318,95.5,-0.121,0.256,2527.25,5.865,7.274,0.298
Al1 Ni1 Pd1 Re1 V1,7.8,12.4,196.4,-24.16,13.381,1.486,76.26,-0.188,0.49,2026.304,4.98,7.318,0.094
Al1.09 Fe1.36 Mo0.25 Nb1.44 Ni1.54 Sn1.18 V1.23,6.072,27.03,138.585,-14.741,15.526,1.797,53.56,-0.117,0.243,1743.714,4.841,7.109,0.052
Fe1 Mg1 Mo1 Si1 Ti1 W1,5.667,23.5,203.167,-12.667,14.897,2.238,78.5,-0.181,0.392,2158.833,5.165,7.582,0.249
Be1.76 Ti0.5,2.442,32.708,249.168,-20.675,4.394,2.228,112.531,-0.06,0.105,1644.292,3.69,8.77,0
Co0.21 Cr0.6 Mg0.88 Ni1.47 Ti1.04,6.217,12.283,158.46,-10.878,12.208,1.76,61.236,-0.124,0.262,1678.648,3.877,7.328,0.107
C1 Cr1 Zr1,4.667,49.333,474.333,-90.667,9.134,2.11,106,-0.128,0.282,2741,6,8.22,0.531
Co0.44 Mn0.43 Mo0.25 Nb0.5 Ni0.45 V0.32,7.142,13.766,185.276,-15.416,14.693,1.139,62.548,-0.074,0.172,2094.665,5.178,7.287,0.078
Al0.2 Au1.85 Cr0.76 Fe1.97 W1.41,7.152,16.328,220.601,4.747,11.895,1.169,85.809,-0.153,0.346,2115.537,5.137,8.088,0.254
Al1 Cr1 Fe1 Hf1 Ti1 Zr1,5.5,21.667,152.333,-25.111,14.897,1.877,55.05,-0.147,0.351,1916.578,4.857,6.824,0.068
Au0.74 Be0.85 Fe0.8 Mn1.32 Ni1.01 V0.94,6.332,21.405,186.246,-9.992,14.736,1.181,66.134,-0.113,0.262,1690.248,3.962,7.94,0.202
Co0.52 Cu0.49 Mn0.74 Nb0.69 Ni1.47 Ti1.26,7.435,13.549,160.834,-20.898,14.159,1.593,54.535,-0.049,0.099,1855.328,4.645,7.327,0.06
Co1.91 Cr1.09 Cu1.72 Mn1.23 Nb1.26,7.983,15.82,180.685,-2.785,13.185,1.06,61.388,-0.084,0.196,1861.555,4.436,7.403,0.044
Cr1 Cu1 Mo1 Ni1,8.25,9.25,234.5,5.25,11.526,1.118,89.825,-0.052,0.107,2040.442,4.712,7.308,0.063
Li1.05 Nb0.37,2.042,4.437,35.493,39.305,4.769,1.098,13.007,-0.323,1.301,1051.995,3.178,5.748,0.148
Al1 Fe1 Ni1 Sc1 Si1,5.6,33.8,132.4,-46.56,13.381,2.646,52.06,-0.094,0.199,1594.694,3.996,7.248,0.089
Co1 Cr1 Nb1 Ni1 Zn1,8.4,14.6,180.2,-13.28,13.381,1.294,69.4,-0.073,0.159,1823.736,4.37,7.688,0.033
Au1.22 Cr1.86 Fe0.26 Ni0.52 Ta0.44 Ti0.14,6.545,12.806,196.18,-9.082,12.262,1.109,77.523,-0.111,0.222,1976.374,4.488,7.725,0.313
Al0.54 Cr1.69 Cu0.69 Ni1.9 Pd1.77 Ta0.84 Ti1.73,7.7,15.945,169.225,-31.183,15.392,1.565,65.31,-0.082,0.179,1939.467,4.549,7.392,0.122
Co1.42 Cu0.98 Nb1.7 Ni1.88 Ta0.81 V0.58,8.284,12.996,163.308,-17.34,14.26,1.175,61.094,-0.032,0.066,2129.695,5.497,7.452,0.052
Al1.06 Co1.29 Fe0.98 Nb1.78 Ni1.37 Ta1.61 Ti0.79 W1.2,7.429,16.679,188.074,-22.896,17.043,1.6,71.012,-0.116,0.286,2338.455,6.005,7.37,0.139
Co0.68 Cr1.75 Mo1.09 Ni0.27 Ti0.18,6.695,15.904,267.975,-5.571,11.151,1.18,103.65,-0.026,0.045,2264.438,4.954,7.111,0.094
Al1.99 Co0.94 Mo0.16 Nb1.47 Zn1.27,6.515,15.75,116.623,-15.225,11.965,2.009,43.312,-0.08,0.229,1527.46,4.245,7.259,0.032
Co1 Cr1 Fe1 Mo1 Sc1,6.4,26,220.4,-6.72,13.381,1.576,84.2,-0.078,0.151,2093.8,4.572,7.242,0.139
Al0.84 Cr0.7 Fe1.07 Hf0.24 Ti0.25 V1.88,5.542,28.404,157.444,-14.061,13.057,1.439,63.392,-0.09,0.191,1895.304,4.601,6.877,0.028
Al1.39 Au0.11 Co0.66 Mo0.19 Zr0.41,4.87,31.605,124.953,-32.633,10.671,2.119,45.419,-0.132,0.394,1461.677,4.333,6.741,0.15
Co0.47 Cu1.21 Mn0.18 Mo0.77 N0.23 Nb1.65 Pd1.74 Ti0.21,7.904,70,158.15,-38.089,14.88,1.324,54.194,-0.082,0.228,2030.595,5.18,7.785,0.213
Cr0.6 Fe0.25 Mn1.23 Si1.94 Ta0.17 Ti0.75,5.364,22.522,159.897,-48.579,12.657,2.715,54.344,-0.077,0.211,1805.051,4.275,7.582,0.055
Cr1.43 Mg0.52 Ni1.36 Re2.0 Ti1.91 W1.61,7.81,12.539,283.538,-9.039,14.363,1.679,110.521,-0.136,0.258,2550.589,5.898,7.419,0.184
Al1 Co1 Cr1 Mo1 Ta1,6.6,14.8,214.6,-15.68,13.381,1.584,81.06,-0.091,0.178,2213.494,5.354,7.125,0.11
Hf0.17 Ni1.85 Ti1.21 W0.6 Zr0.24,7.779,23.366,197.543,-29.679,10.815,1.8,74.56,-0.111,0.281,2137.383,5.409,7.338,0.191
Co1 Cr1 Fe1 Ta1 W1 Zr1,7.667,22.667,231.667,-15.889,14.897,1.248,89.167,-0.094,0.202,2478.667,6.05,7.49,0.214
Al1 Fe1 Hf1 Pd1 V1,6.8,23.8,134.8,-41.76,13.381,1.536,47.86,-0.08,0.179,1852.304,4.572,7.159,0.176
Al1.68 Cr1.9 Fe1.02 Mg1.65 Ni1.0 Re0.91,5.871,15.358,190.993,0.064,14.548,1.67,75.043,-0.214,0.485,1710.305,3.912,7.157,0.086
Al1 Fe1 Hf1 Ni1 Ta1,7.6,24.4,162.2,-31.52,13.381,1.71,56.66,-0.087,0.174,2053.694,5.24,7.249,0.098
Al1 Fe1 Hf1 Li1 Mo1 Ta1,5.833,22,158.5,3.444,14.897,1.633,55.25,-0.241,0.501,1981.687,5.035,6.849,0.281
Al1 Co1 Ni1 Pd1 V1,7.4,11,145.6,-27.36,13.381,1.412,55.66,-0.057,0.115,1688.104,4.278,7.318,0.093
Co1 Cu1 Fe1 Si1,8,11.5,164.25,-18.5,11.526,1.9,63.075,-0.029,0.061,1655.942,4.198,7.915,0.002
Co1 Hf1 Mo1 Re1 Ti1 V1 W1,7.571,19,257.143,-15.102,16.178,1.563,95,-0.153,0.325,2635.429,6.313,7.303,0.229
Fe0.69 Mo0.58 Nb0.11 Ni0.35,7.543,14.775,241.595,-7.293,10.239,1.203,90.728,-0.036,0.065,2217.671,5.373,7.507,0.057
Fe0.5 Nb0.18 Ni1.16 Pd0.66 Re1.33 Ta0.38,9.774,12.378,266.682,-12.448,13.424,1.235,101.663,-0.132,0.277,2485.074,5.892,7.841,0.066
Co1 Fe1 Mo1 Ni1 V1 W1,8,7.833,248,-6.778,14.897,1.16,95.167,-0.06,0.135,2346.833,5.69,7.522,0.112
Co1 Cr1 Nb1 Ta1,7.25,11.25,194.75,-16.75,11.526,1.21,74.25,-0.063,0.136,2497,6.04,7.324,0.039
Fe0.83 Ni0.12,8.253,1.747,209.611,-0.883,3.154,1.064,81.242,0,0.001,1800.516,4.3,7.869,0.001
Al1 Ni1 Ti1 V1 Zr1,5.2,23.4,121.6,-35.2,13.381,1.918,47.26,-0.065,0.141,1782.694,4.898,6.767,0.069
Co0.88 Mo0.37 Ti1.36,5.969,13.448,177.552,-21.815,8.174,2.123,65.226,-0.058,0.163,2018.054,4.974,7.221,0.105
B1.69 Co1.63 Cr1.85 Cu1.62 Fe0.81 Mo1.74 V1.99 W0.69,6.858,39.63,258.702,-11.352,16.863,1.338,99.857,-0.082,0.177,2203.32,5.168,7.447,0.092
Co1 W1,9.5,7,310,-1,5.763,1.23,118,-0.057,0.133,2731.5,6.645,7.873,0.115
Al1 Au1 Co1 Mo1 Nb1 Si1,5.333,19.5,149.667,-33.333,14.897,2.045,55.55,-0.146,0.356,1895.3,5.095,7.517,0.213
Al1.69 Co1.76 Cu0.81 Nb0.88 Ni0.7 V1.91 W1.8 Zr1.29,6.82,26.151,177.987,-18.798,16.768,1.467,68.584,-0.167,0.423,2120.322,5.589,7.116,0.19
Al1.19 Cu1.0 Hf1.19,7.127,23.607,113.805,-26.837,9.107,1.975,34.112,-0.034,0.075,1612.645,4.335,6.796,0.116
Cr1 Mo1 N1 Ni1 Pd1,7.4,54,245.8,-63.52,13.381,1.856,79,-0.088,0.184,1739.04,4.828,8.875,0.433
Co1 Fe1 Mo1 Ni1,8.25,10.5,237.25,-4.25,11.526,1.158,88.25,-0.021,0.044,2050.75,4.982,7.631,0.032
Ag1.15 Fe1.33 Mo1.48 Ti0.9 Zr0.51,7.041,19.6,189.076,5.673,12.918,1.509,70.315,-0.128,0.265,2038.559,5.004,7.31,0.139
Ni1 Si1 Zr1,6,28.333,133.667,-76.889,9.134,2.39,52,-0.054,0.119,1847.667,5.2,7.475,0.147
Cr0.54 Mn0.27 Mo0.86 Ni1.1 Ti0.84,6.828,13.252,222.853,-15.937,12.648,1.606,81.803,-0.076,0.152,2107.792,4.938,7.176,0.115
Co1.85 Cr1.66 Mn1.8 Pd1.06 Ti1.69,7.019,14.481,189.887,-21.129,13.239,1.422,63.728,-0.095,0.219,1841.417,4.033,7.391,0.1
Al1.66 Co1.12 Cr0.57 Fe1.61 Re0.49 Ta0.76,7.019,18.82,196.014,-16.754,14.036,1.65,74.861,-0.113,0.292,1913.581,4.791,7.279,0.039
Fe1 Ni1 V1,7.667,6,179.667,-12,9.134,1.037,71.667,-0.01,0.022,1907.333,4.677,7.429,0.028
Cr0.62 Zr1.59,4.561,23.023,145.9,-9.688,4.934,1.33,56.005,-0.137,0.433,2142.588,5.848,6.671,0.044
N1 Zn1,8.5,34.5,204,-88,5.763,3.445,41.5,-0.001,0.001,377.915,3.12,11.964,0.966
Al1 Fe1 Mn1 Mo1 Ti1 Y1,5.167,38.833,164.667,-10.222,14.897,1.9,58.05,-0.133,0.318,1816.578,4.448,6.911,0.167
Au1 Co1 Cr1 Cu1 Li1 Nb1 Ti1,5.857,13.571,132.571,-4.245,16.178,1.331,50.214,-0.2,0.434,1683.964,4.261,7.226,0.379
Be0.46 Co0.24 Fe0.22 Mn0.56 Zn0.52,7.5,18.41,197.82,-5.104,12.82,1.524,69.36,-0.123,0.298,1375.587,2.939,8.483,0.028
Al1 Cr1 Pd1 Si1 Zr1,5.4,28.8,134.2,-66.08,13.381,2.18,53.06,-0.139,0.36,1751.304,4.502,7.175,0.171
Al0.34 Co1.0 Cr0.62 Cu0.57 Ni0.83 V1.03 W1.36,8.184,11.986,232.466,-4.165,15.54,1.222,91.047,-0.112,0.233,2246.755,5.447,7.391,0.148
C1.49 Co1.31 Cr1.75 Cu0.31 Mo1.96,6.367,47.913,441.595,-38.997,12.447,1.735,117.738,-0.043,0.084,2648.314,5.624,8.102,0.207
Al1 Co1 Cu1 Fe1 Ni1 Pd1 V1 Y1,7.375,44,141.625,-22.75,17.288,1.372,56.2,-0.054,0.109,1676.036,4.202,7.304,0.146
Au1 B1 Co1 Mn1 Ti1,5.6,40.6,210.2,-33.28,13.381,1.818,70.2,-0.21,0.559,1782.866,4.338,7.933,0.272
Co1.98 Cr1.21 Nb1.17 V2.0 W1.24,7.017,12.637,215.776,-10.739,13.121,1.088,84.967,-0.099,0.23,2408.387,5.811,7.229,0.139
Al1 Cu1 Fe1 Mn1 Ni1 Si1 W1,7.571,14.286,189.571,-16.98,16.178,1.889,67.943,-0.152,0.389,1818.749,4.574,7.529,0.119
B1 Cu1 Fe1 Mo1 Pd1 Si1,7,36.333,224.667,-27.222,14.897,1.983,85.217,-0.128,0.297,1988.137,4.807,7.919,0.039
Fe1.19 Ta0.2,8.144,17.122,207.403,-7.391,3.425,1.125,80.129,-0.002,0.003,2023.806,4.83,7.9,0.027
Al1.2 Cr1.33,4.577,5.257,179.87,-9.974,5.752,1.911,72.929,-0.154,0.369,1588.76,3.749,6.397,0.001
Al1 Co1 Cu1 Ni1 Si1 V1 W1 Zn1,8,15.625,170.375,-17,17.288,1.886,66.7,-0.127,0.339,1755.615,4.484,7.674,0.104
Mo1 Nb1 V1,5.333,6.333,187.333,-3.111,9.134,1.203,71.667,-0.104,0.239,2609.667,6.567,6.868,0.132
Co1 Mo1 Ta1 Ti1,7,14.25,210,-16.25,11.526,1.755,77,-0.058,0.127,2473.75,6.04,7.424,0.145
Co1 Ta1 Zn1,10,11,167.667,-14.222,9.134,1.547,62.333,-0.022,0.05,1916.893,4.613,8.388,0.049
Co1 Fe1 Hf1 Li1 Nb1 Zr1,5.833,19.667,129,-1.556,14.897,1.278,43.7,-0.189,0.379,1902.775,5.07,6.899,0.201
Al1 Co1 Cr1 Cu1 Fe1 Ti1 Zr1,6.429,26.857,158.429,-20.571,16.178,1.647,60.514,-0.106,0.234,1731.32,4.429,7.103,0.074
Ag1 Al1 Fe1 Pd1,8,14,121.25,-11,11.526,1.507,45.575,-0.099,0.234,1451.862,3.62,7.45,0.09
Al1 Fe1 Mn1 Ni1 Pd1 Ta1 Ti1 V1,7,14.625,153.75,-30.5,17.288,1.591,54.162,-0.059,0.121,1904.19,4.644,7.345,0.102
Mo1 Nb1 Ni1 Pd1 Si1 Ti1 Zn1,7.286,23.286,155.143,-43.184,16.178,2.06,58.857,-0.087,0.219,1931.819,4.793,7.744,0.121
Co1.51 Cr1.92 Cu0.7 Mn0.84 Ni1.34 Re0.58 Ti1.68,7.607,15.918,214.704,-12.315,15.507,1.442,78.91,-0.101,0.235,1944.492,4.443,7.331,0.049
Ag1 Ti1 V1,6.667,8,109,5.778,9.134,1.647,43.667,-0.029,0.064,1786.31,4.37,7.05,0.056
Co1 Cr1 Fe1 Ni1 Ta1 Ti1 Y1,7,38.857,180.714,-14.449,16.178,1.519,71.714,-0.049,0.104,2073.857,4.946,7.304,0.106
Al1 Cr1 Fe1 Hf1 Li1 Mo1 Ta1 W1,6.375,20.625,205.125,4.688,17.288,1.519,75.938,-0.23,0.445,2220.64,5.401,6.966,0.347
Cu1.42 Ni0.3,10.826,3.302,142.209,2.304,3.848,1.028,53.131,-0.016,0.039,1422.345,3.656,7.711,0
Fe0.48 Si0.25 Ta0.41 Ti0.24 V1.24 W0.32,6.425,23.017,177.677,-19.954,13.221,1.557,72.163,-0.074,0.21,2379.282,5.826,7.342,0.123
Co1.89 Fe1.85 Mo1.68 Nb0.73 Ta2.0 Ti1.84,7.097,12.33,200.217,-16.565,14.565,1.592,74.249,-0.054,0.115,2373.983,5.838,7.479,0.11
Cr1 Cu1 Fe1 Mo1 Pd1 V1,7.667,6.667,199.667,-5.111,14.897,1.037,77.717,-0.073,0.155,2042.637,4.648,7.43,0.098
Al1.18 Hf1.01 Mo0.86 Nb0.77 Ni1.4,6.634,23.868,167.017,-30.643,13.189,1.756,57.508,-0.147,0.35,2042.11,5.355,6.889,0.161
Be0.54 Cr0.64 Mn0.1 Nb0.73 Pd0.4 Ta0.23 V1.82,5.48,27.502,169.087,-18.614,13.723,1.148,70.253,-0.092,0.219,2210.309,5.233,7.28,0.059
Co1.93 Fe0.54 Nb0.63 Ni0.52 V0.17,8.15,17.1,187.129,-15.095,11.069,1.093,69.177,-0.024,0.045,1950.488,4.951,7.614,0.025
Cr0.31 Fe1.56 Ti0.92 V0.35,6.296,13.758,180.627,-12.804,9.814,1.601,71.338,-0.042,0.096,1926.984,4.544,7.346,0.033
Co1 Cu1 Fe1 Mo1 Ni1 Pd1 Re1 Ti1,8.625,13.875,222.375,-10.688,17.288,1.378,83.412,-0.11,0.265,2098.602,5.008,7.662,0.073
Al1 Hf1 Pd1 Re1 V1,7.4,21.6,185.2,-42.24,13.381,1.606,67.06,-0.248,0.71,2181.904,5.296,7.155,0.184
Co1 Cu1 Ni1 V1 W1,9,9,215.6,0,13.381,1.104,83.46,-0.094,0.232,2146.354,5.306,7.571,0.111
Co0.78 Cr1.04 N1.08 Ta1.53 V1.7,6.677,57.675,208.705,-85.106,13.064,1.783,69.131,-0.051,0.115,2032.503,5.61,8.552,0.597
Al1 Cu1 Nb1 Ta1 Ti1 V1,6.167,18.5,122.5,-9.333,14.897,1.805,47.1,-0.04,0.083,2075.873,5.447,6.989,0.033
Al1 Fe1 Mo1 Si1 Ti1 V1 Zr1,4.857,26.429,150.714,-37.551,16.178,2.199,58.471,-0.113,0.266,1939.924,5.111,7.049,0.126
Ag0.53 Al0.46 Cu0.45 Mo0.12 Nb0.23 Ni1.01 Pd0.61 Ti1.06,7.711,17.311,133.577,-26.568,15.937,1.747,49.913,-0.071,0.165,1698.608,4.304,7.314,0.105
Al1 Ba1 Cr1 Fe1 Nb1,4.8,98.8,135.6,13.6,13.381,1.666,53.26,-0.258,0.559,1734.894,4.146,6.525,0.211
Cr0.76 Cu0.47 Mn0.61 Ni1.56 Zr1.63,7.181,22.992,170.803,-28.239,12.397,1.202,60.398,-0.098,0.236,1865.977,4.793,7.165,0.122
Cr1 Fe1 Mn1 Ni1 Ta1 Ti1 V1,7,13.857,188.286,-13.714,16.178,1.383,68.286,-0.061,0.13,2093.143,4.857,7.315,0.041
Co1 Cr1 Cu1 Li1 Ni1 Ti1,6.833,18,157.5,0.556,14.897,1.36,60.417,-0.17,0.32,1571.403,3.817,7.039,0.215
Al1 Co1 Cu1 Fe1 Ni1 Ti1 W1,7.857,17.429,192.429,-11.592,16.178,1.673,73.229,-0.126,0.306,1890.606,4.816,7.404,0.12
Cr1.53 Hf1.59 Li0.95 N1.93 Nb1.47 Pd0.86 Ti1.89,5.48,65.185,168.584,-102.994,15.869,2.253,47.133,-0.172,0.419,1678.659,4.938,8.257,0.852
Al1 Co1 Fe1 Ni1 Y1,6.6,43.8,150.8,-23.52,13.381,1.624,60.06,-0.069,0.136,1607.894,4.186,7.125,0.133
Cr1.3 Cu0.18 Si1.64 V1.19 Zr1.07,4.939,29.491,151.39,-48.507,12.254,2.129,62.902,-0.099,0.234,1992.529,4.992,7.19,0.083
Al1 Co1 Cu1 Fe1 Nb1 Pd1 Ti1,7.143,14.714,137.429,-27.265,16.178,1.629,51.086,-0.062,0.133,1769.899,4.547,7.346,0.092
Ni1 Re1 Ta1 V1 Zr1,7.8,19.8,214.2,-26.88,13.381,1.304,82.6,-0.144,0.365,2557.6,6.456,7.358,0.102
Co1 Cr1 Mo1 N1 Ni1 Ti1,6.667,56.333,238.833,-72.556,14.897,2.063,78.333,-0.075,0.156,1762.692,4.915,8.458,0.484
Ag1 Al1 Co1 Pd1,8.25,13.75,120.75,-14.5,11.526,1.502,43.825,-0.083,0.191,1441.112,3.648,7.445,0.088
Ba1 Co1 Fe1 Mn1 Mo1 Ni1 W1 Y1,6.875,101.625,204.375,13.375,17.288,1.376,74.375,-0.192,0.387,2027,4.704,7.156,0.411
Cr1.05 Fe0.1 Ta0.33 Ti1.62 V1.34,5.236,12.036,165.511,-5.212,11.216,1.735,67.428,-0.07,0.17,2167.892,5.04,6.892,0.009
Al0.5 Au1.1 Co0.1 Cu0.99 Fe0.81 Ni0.4,7.505,13.672,133.669,-2.459,13.488,1.285,49.997,-0.093,0.208,1440.231,3.845,7.958,0.221
Co1.9 Cu1.89,9.997,1.504,169.604,6,5.763,1.015,61.685,-0.021,0.047,1563.426,3.941,7.804,0
Co0.73 Li0.24 Mo1.18 Ni0.63 Ti1.12 Zr1.25,5.761,18.623,178.029,-17.278,14.05,1.675,65.198,-0.142,0.291,2085.312,5.444,7.025,0.243
Cr1 Fe1 Nb1 Zr1,5.75,20,172.25,-14.25,11.526,1.195,67,-0.113,0.252,2217.25,5.62,7.016,0.065
Ag1.93 Al1.68 Re1.33 V1.6 Zr1.29,6.904,21.928,155.765,-10.907,13.287,1.562,60.357,-0.258,0.81,1888.893,4.951,6.962,0.09
Ba1 Co1 Cr1 Fe1 Ni1 Pd1 Ta1 Ti1,7.25,104.5,166.875,-8.938,17.288,1.469,63.75,-0.131,0.231,1943.256,4.434,7.307,0.266
Ag1 Al1 Mo1 Nb1 Ni1 Ti1 V1 Zn1,7,17.875,142.375,-8.188,17.288,1.732,54.288,-0.113,0.283,1794.885,4.581,7.254,0.084
Al1 Co1 Cr1 Cu1 Ni1 Ta1 Zr1,7.429,27.286,166.857,-23.184,16.178,1.454,63.229,-0.093,0.197,1912.177,4.916,7.218,0.086
Cu1.97 Fe0.95 Ni1.92 Ti1.73 Zr0.97,7.861,24.794,150.187,-20.918,12.983,1.576,56.645,-0.046,0.094,1742.057,4.535,7.38,0.092
Ag1 Ba1 Co1 Fe1 Ni1 Ti1,7.333,99.667,138.667,6,14.897,1.552,52,-0.163,0.294,1580.488,3.722,7.173,0.273
Co1 Cr1 Mn1 Nb1 Ni1 Ti1 V1,6.571,14,176.429,-16.49,16.178,1.344,62.857,-0.077,0.174,2009.857,4.797,7.151,0.04
Fe1 Pd1 Ti1,7.333,11.333,149.333,-38.222,9.134,1.68,56.667,-0.046,0.1,1860.017,4.34,7.689,0.146
Al1 Cr1 Fe1 Mn1 Mo1 Nb1 W1,6.429,14.143,229,-7.755,16.178,1.453,82.471,-0.162,0.336,2254.924,5.421,7.116,0.171
Co1 Mn1 Si1 V1,6.25,13.25,160.5,-37.75,11.526,1.875,53.5,-0.035,0.075,1789.25,4.312,7.553,0.047
Ba1.34 Cr0.29 Cu0.31 Fe0.77 Mo0.24 V1.85 Zn0.56,5.858,90.847,126.369,27.911,14.052,1.352,51.585,-0.191,0.421,1662.14,3.673,6.879,0.293
Al1 Co1 Mo1 Ni1 Pd1 Re1 Ti1,7.571,14.714,215.429,-25.551,16.178,1.711,80.471,-0.157,0.369,2079.074,5.093,7.379,0.106
Al1.32 Co1.34 Ni1.91 Si1.54 Zr1.52,6.207,32.315,139.203,-57.333,13.303,2.201,52.807,-0.075,0.153,1668.98,4.699,7.299,0.104
Cr1.46 Nb0.84 Ti0.67 Zr1.94,4.766,18.316,153.894,-6.932,10.82,1.502,59.739,-0.147,0.366,2224.356,5.756,6.721,0.042
Al1 Co1 Nb1 Ni1 Ti1 W1 Zr1,6.429,23,172.143,-29.714,16.178,1.781,64.757,-0.169,0.447,2134.781,5.72,7.085,0.193
Al1.45 Co1.04 Cr1.98 Mn0.28 Mo1.69 V0.53 Zr0.22,5.733,30.483,218.533,-11.363,14.328,1.489,82.602,-0.117,0.217,2010.203,4.75,6.869,0.11
Cu1.17 Fe0.23 Mn0.57 Ni1.93 Re0.29,9.831,10.465,198.988,2.864,11.048,1.111,70.077,-0.081,0.23,1720.549,4.199,7.667,0.03
Cr0.25 Cu1.76 N1.82 Si1.27 V0.83,6.609,40.863,183.251,-92.551,12.153,2.918,49.504,-0.029,0.089,1181.111,4.444,9.729,0.641
Ba1.65 Cr0.63 Fe1.58 Li0.83 Ni1.38 Pd0.26,5.837,90.19,133.837,15.095,13.769,1.309,52.143,-0.306,0.597,1440.955,3.188,6.719,0.438
Al1 Mo1 Nb1 Re1 Sn1 Ti1 Zr1,5.286,26.143,175.286,-18.776,16.178,2.23,65.329,-0.277,0.726,2087.507,5.739,6.933,0.141
Al0.87 C1.13 Co1.42 Cr0.24 Cu1.82 Ti0.97 W1.47,7.569,52.457,323.792,-28.663,15.316,1.969,90.447,-0.169,0.368,2279.721,5.38,7.953,0.236
Au0.51 B1.95 Cr1.56 Ni0.75 Ti0.59,5.153,31.59,293.09,-33.374,12.213,1.943,113.364,-0.117,0.202,2071.75,4.795,7.687,0.154
Cr1.2 Fe1.91 Mn0.56 Nb1.92 Ni1.25 Re1.14 V0.94 Zr0.49,7.194,25.968,211.954,-16.603,16.515,1.153,80.218,-0.128,0.306,2274.564,5.527,7.277,0.05
Ni1.61 Y1.9,6.211,29.231,126.382,-30.788,5.734,1.544,57.054,-0.04,0.093,1766.433,4.451,6.87,0.236
Cu1 Mo1 Nb1 Ni1 W1 Zr1,7.667,20.667,211.5,-9.889,14.897,1.298,79.383,-0.152,0.348,2425.795,6.292,7.287,0.23
Co1.98 Cu0.62 Fe1.39 Mn1.31 Ni0.61,8.635,2.11,197.816,-0.055,12.568,1.049,65.082,-0.041,0.081,1675.756,3.949,7.746,0.037
Al1 Co1 Fe1 Mn1 Nb1 Ta1 Zr1,6.429,24.571,153.286,-24.327,16.178,1.503,51.186,-0.083,0.176,2028.496,5.307,7.212,0.062
Cu1 Nb1 Ta1 Ti1 W1,7.8,13.2,189.6,0,13.381,1.67,72.06,-0.152,0.402,2606.754,6.582,7.413,0.208
Au1 Co1 Cr1 Fe1 Mn1 Ni1,7.5,15,195.833,-1.667,14.897,1.035,68.333,-0.093,0.189,1723.888,3.988,7.808,0.198
Al1 Cr1 Pd1 Si1 Ti1 V1,5.333,18.5,136.833,-50.333,14.897,2.223,55.55,-0.102,0.256,1792.087,4.357,7.136,0.104
Al0.76 Co1.14 Fe0.68 Mo0.33 V0.73,6.486,12.201,174.986,-15.248,12.836,1.454,66.609,-0.072,0.154,1787.282,4.559,7.191,0.054
Al1 Be1 Fe1 Hf1 Re1,6.4,30,235,-24.16,13.381,1.844,89.66,-0.199,0.429,2053.894,4.984,7.583,0.09
Co0.64 Cu1.86 Fe1.42 Hf0.24 Zr1.41,8.104,23.418,151.217,-16.364,12.027,1.173,55.298,-0.061,0.13,1764.903,4.673,7.473,0.126
